Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW65N13,60.33,1.38E-06,22.15328168,62.83,2.836232301,535.0662067,1517.572059,1.37E+01,0.025669969,1.430612245,4.343373494,6.38E-02,3.036024268
GW65N13,70.08,1.52E-06,24.50612891,15.71,0.64098101,591.8943129,379.3930147,3.04E+01,0.051339937,2.943548387,9.397163121,1.30E-01,3.192460896
GW65N13,70.36,1.53E-06,24.57205756,18.85,0.767113453,593.4866815,455.2716176,2.78E+01,0.046866736,2.710526316,8.920863309,1.15E-01,3.291192289
GW65N13,70.38,1.53E-06,24.57676347,21.99,0.894794329,593.600343,531.1502206,2.58E+01,0.043390167,2.512195122,8.141843972,1.08E-01,3.240928183
GW65N13,70.23,1.53E-06,24.54145849,25.13,1.024093219,592.7476251,607.0288235,2.41E+01,0.040587784,2.388888889,7.659574468,1.00E-01,3.206333498
GW65N13,70.36,1.53E-06,24.57205756,28.27,1.15067018,593.4866815,682.9074265,2.27E+01,0.03826653,2.201612903,7.234042553,9.44E-02,3.285792222
GW65N13,70.23,1.53E-06,24.54145849,31.42,1.280116524,592.7476251,758.7860294,2.15E+01,0.036302818,2.12195122,6.929078014,8.85E-02,3.26542757
GW65N13,70.23,1.53E-06,24.54145849,34.56,1.408128176,592.7476251,834.6646324,2.05E+01,0.034613379,2.022267206,6.567375887,8.49E-02,3.247531219
GW65N13,70.26,1.53E-06,24.54852145,37.7,1.535697859,592.9182162,910.5432353,1.96E+01,0.033139787,1.973684211,6.357142857,8.04E-02,3.220952381
GW65N13,70.21,1.52E-06,24.5367493,40.84,1.664470871,592.6338845,986.4218382,1.89E+01,0.031839678,1.94214876,6.163522013,7.66E-02,3.173558143
GW65N13,70.23,1.53E-06,24.54145849,43.98,1.792163133,592.7476251,1062.300441,1.82E+01,0.030681481,1.927966102,5.81875,7.53E-02,3.018076923
GW65N13,70.21,1.52E-06,24.5367493,47.12,1.920543313,592.6338845,1138.179044,1.76E+01,0.029641127,1.824894515,5.542682927,7.38E-02,3.037262089
GW65N13,69.77,1.52E-06,24.43303616,50.27,2.057275327,590.1289105,1214.057647,1.69E+01,0.028699897,1.783898305,5.259036145,7.26E-02,2.948058266
GW65N13,70.08,1.52E-06,24.50612891,53.41,2.179335435,591.8943129,1289.93625,1.65E+01,0.02784299,1.727848101,5.333333333,6.76E-02,3.086691087
GW65N13,69.95,1.52E-06,24.47548998,56.55,2.310420253,591.1542937,1365.814853,1.60E+01,0.027058523,1.658995816,5.1375,6.62E-02,3.096752837
GW65N13,70.15,1.52E-06,24.52261912,59.69,2.434089937,592.2925994,1441.693456,1.56E+01,0.026336832,1.642259414,4.925925926,6.55E-02,2.99948101
GW65N13,70.13,1.52E-06,24.51790818,62.83,2.562692242,592.1788165,1517.572059,1.52E+01,0.025669969,1.524390244,4.670731707,6.56E-02,3.064
