Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW85N41,45.45,11.15,17.43,47.12,2.703384968,249.02,673.43,9.59606,0.038535,1.1443,3.7004,0.078485,3.23373
GW85N41,45.45,11.15,17.43,50.27,2.88410786,249.02,718.33,9.291346,0.037311,1.066,3.5182,0.07739,3.300447
GW85N41,45.61,11.18,17.47,53.41,3.057240985,249.6,763.22,9.034949,0.036197,1.033,3.1873,0.080588,3.085616
GW85N41,45.43,11.15,17.42,56.55,3.246268657,248.95,808.12,8.757408,0.035177,0.9813,3.0705,0.078799,3.129084
GW85N41,45.43,11.15,17.42,59.69,3.42652124,248.95,853.01,8.523835,0.034239,1,3.1186,0.073499,3.118644
GW85N41,45.3,11.13,17.39,62.83,3.612995975,248.48,897.91,8.292225,0.033372,0.958,3.0241,0.071871,3.156729
GW85N41,55.35,12.65,19.77,15.71,0.794638341,282.55,224.48,18.85837,0.066744,1.948,6.5638,0.15061,3.369526
GW85N41,55.41,12.66,19.78,18.85,0.952982811,282.74,269.37,17.22672,0.060929,1.814,5.9933,0.137547,3.303992
GW85N41,55.35,12.65,19.77,21.99,1.112291351,282.55,314.27,15.93823,0.056409,1.6988,5.5733,0.126696,3.280688
GW85N41,55.12,12.62,19.72,25.13,1.274340771,281.82,359.16,14.87068,0.052766,1.572,5.2148,0.118179,3.317183
GW85N41,55.12,12.62,19.72,28.27,1.43356998,281.82,404.06,14.02021,0.049748,1.4885,4.9055,0.111671,3.295642
GW85N41,54.49,12.53,19.58,31.42,1.604698672,279.83,448.95,13.2066,0.047195,1.5028,4.796,0.10207,3.191337
GW85N41,54.82,12.58,19.65,34.56,1.758778626,280.88,493.85,12.63913,0.044999,1.4793,4.7056,0.094928,3.180975
GW85N41,54.69,12.56,19.63,37.7,1.920529801,280.46,538.75,12.08329,0.043083,1.2931,4.265,0.095866,3.298267
GW85N41,65.1,13.91,21.75,40.84,1.877701149,310.78,583.64,12.8641,0.041393,1.5226,4.555,0.091814,2.991596
GW85N41,54.49,12.53,19.58,43.98,2.246169561,279.83,628.54,11.16161,0.039887,1.2184,3.996,0.087504,3.279723
GW85N41,63.39,13.71,21.42,50.27,2.346872082,306.17,718.33,11.4236,0.037311,1.2707,3.796,0.088187,2.987287
GW85N41,54.67,12.55,19.62,53.41,2.722222222,280.4,763.22,10.1497,0.036197,1.0829,3.6194,0.079722,3.342484
GW85N41,54.51,12.53,19.59,56.55,2.886676876,279.89,808.12,9.845855,0.035177,1.1647,3.6948,0.073624,3.172192
GW85N41,54.51,12.53,19.59,59.69,3.046962736,279.89,853.01,9.583252,0.034239,1.0685,3.3896,0.076029,3.17222
GW85N41,54.69,12.56,19.63,62.83,3.200713194,280.46,897.91,9.35968,0.033372,1.1122,3.4516,0.071074,3.103285
GW85N73,45.81,45.50410841,18.66160187,18.84955592,1.0100717,571,576.8,23.7767,0.042,2.848,9.723,0.07997,3.345
GW85N73,45.02,45.0463266,18.47386186,21.99114858,1.190392607,565.3,672.9,21.79149,0.039,2.648,8.657,0.07621,3.205
GW85N73,45.04,45.05795731,18.47863171,25.13274123,1.360097524,565.4,769,20.38934,0.036,2.489,8.065,0.0716,3.175
GW85N73,45,45.03469371,18.46909112,28.27433388,1.530900124,565.1,865.2,19.21333,0.034,2.263,7.587,0.06762,3.286
GW85N73,44.59,44.79574055,18.3710945,31.41592654,1.710073754,562.1,961.3,18.13065,0.032,2.102,6.788,0.06766,3.165
GW85N73,44.28,44.61445729,18.29674877,34.55751919,1.888724583,559.9,1057.4,17.21694,0.031,2.038,6.497,0.06401,3.124
GW85N73,44.66,44.83660236,18.38785225,37.69911184,2.050218336,562.6,1153.6,16.56604,0.029,1.943,6.11,0.0627,3.081
GW85N73,44.66,44.83660236,18.38785225,40.8407045,2.221069864,562.6,1249.7,15.91613,0.028,1.898,5.967,0.05926,3.08
GW85N73,44.82,44.92990019,18.42611445,43.98229715,2.386954519,563.8,1345.8,15.36909,0.027,1.775,5.517,0.05964,3.045
GW85N73,44.5,44.74316444,18.34953261,47.1238898,2.568124802,561.5,1441.9,14.78624,0.026,1.744,5.303,0.05767,2.981
GW85N73,44.5,44.74316444,18.34953261,50.26548246,2.739333122,561.5,1538.1,14.31671,0.025,1.73,5.14,0.05578,2.911
GW85N73,44.6,44.80157959,18.37348914,53.40707511,2.906746493,562.2,1634.2,13.90738,0.025,1.57,4.84,0.05583,3.021
